title,brand_name,processor,memory,storage,display,product_price,special_price,emi_price,url
ASUS ZENBOOK 14 UX433FAC 14 INCH CORE I7 10TH GEN 8GB RAM 512GB SSD BACKLIT KEYBOARD IPS FHD Royal Blue (Glass) LAPTOP,Asus,"Intel Core i7-10510U (8M Cache, 1.80 GHz Up to 4.90 GHz)Processor",8GB LPDDR3 RAM,512GB PCIe SSD,14” LED-backlit Full HD (1920 x 1080) 16:9 slim-bezel NanoEdge anti-glare display 6.45mm-thin bezel with 86% screen-to-body ratio Wide 100% sRGB color gamut 178° wide-view technology,Not available,Not available,Not available,https://www.techlandbd.com/asus-zenbook-14-ux433fac-core-i7-laptop
Dell INSPIRON 13 5391 13.3 inch Core i7 10th Gen 8GB Ram 512GB SSD Backlit Key Laptop with Nvidia MX250 2GB GDDR5 Graphics,Dell,"10th Generation Intel Core i7-10510U Processor (8MB Cache, up to 4.9 GHz)","8GB, onboard, LPDDR3, 2133MHz",512GB M.2 PCIe NVMe Solid State Drive,13.3-inch FHD (1920 x 1080) Anti-Glare Touch Narrow Border Wide Viewing Angle Display,Not available,Not available,Not available,https://www.techlandbd.com/inspiron-13-5391-dell-i7-10th-gen-laptop-with-mx250
CHUWI LAPBOOK PRO 14.1 INCH Intel Gemini Lake N4100 8GB RAM 256GB SSD LAPTOP,Chuwi,"Intel Gemini Lake N4100 4C4T, 1.10~2.40 GHz",8GB DDR4 RAM,256GB SATA-based SSD (M.2),Size: 14 inches Type: IPS Resolution: 1920 x 1080 Colour: 100% sRGB colour gamut Aspect ratio: 16.9 Maximum brightness: 300 nits,Not available,Not available,Not available,https://www.techlandbd.com/chuwi-lapbook-pro-intel-celeron-n4100-laptop
Chuwi UBook Pro 12.3 inch Touch Screen 8GB Ram 256GB SSD 2 in 1 Tablet & Notebook,Chuwi,"Intel Core m3-8100Y Processor (4M Cache, 1.10 GHz up to 3.40 GHz)",8GB DDR4 RAM,256GB SSD,Size: 12.3 inches Type: Multi-touch IPS Resolution: 1920 x 1280 Colour: 100% sRGB colour gamut Aspect ratio: 3:2 Maximum brightness: 360 nits Support H5/H6 Stylus,Not available,Not available,Not available,https://www.techlandbd.com/chuwi-ubook-pro-2-in-1-tablet-and-notebook
ASUS VivoBook S15 S533FL 15.6″ Full HD Core i5 10th Gen Laptop with Nvidia MX250 2GB Graphics Card -Green,Asus,"Intel Core i5-10210U Processor (6M Cache, 1.60GHz up to 4.20GHz)",8GB DDR4 on board RAM (Ram slot not available ),512GB M.2 NVMe PCIe 3.0 SSD ( NVMe SSD Or Optane Memory Slot available),15.6” LED-backlit Full HD (1920 x 1080) 16:9; Frameless three-sided NanoEdge IPS Display with 86% screen-to-body ratio & NTSC: 45%,Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-s15-s533fl-laptop-with-mx250-green
ASUS VivoBook S15 S533FL 15.6″ Full HD Core i5 10th Gen Laptop with Nvidia MX250 2GB Graphics Card -Black,Asus,"Intel Core i5-10210U Processor (6M Cache, 1.60GHz up to 4.20GHz)",8GB DDR4 on board RAM (Ram slot not available ),512GB M.2 NVMe PCIe 3.0 SSD (NVMe SSD Or Optane Memory Slot available),15.6” LED-backlit Full HD (1920 x 1080) 16:9; Frameless three-sided NanoEdge IPS Display with 86% screen-to-body ratio & NTSC: 45%,Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-s15-s533fl-laptop-with-mx250-black
Dell INSPIRON 14 2 iN 1 5491 14 inch Core I5 10th Gen 8GB Ram 256GB SSD Backlit Key Full HD TOUCH Laptop with NVIDIA MX230 4GB GDDR5 Graphics,Dell,"Intel Core i5-10210U Processor (6M Cache, up to 4.10 GHz)",8GB DDR-4 2666MHz,256GB SSD,14.0-inch FHD (1920 x 1080) IPS LED-Backlit Touch Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-2-in-1-5491-14-inch-i5-10th-gen-laptop-with-mx230
Dell INSPIRON 14 2 iN 1 5491 14 inch Core i3 10th Gen 4GB Ram 256GB SSD Backlit Key Full HD TOUCH Laptop with With Dell Active PEN,Dell,"Intel Core i3-10110U Processor (4M Cache, up to 4.10 GHz)",4GB DDR-4 2666MHz,256GB SSD,"14.0"" Full HD",Not available,Not available,Not available,https://www.techlandbd.com/dell-2-in-1-5491-14-inch-i3-10th-gen-laptop
Dell INSPIRON 14 2 iN 1 5491 14 inch Core I5 10th Gen 8GB Ram 256GB SSD Backlit Key Full HD TOUCH Laptop with With Dell Active PEN,Dell,"Intel Core i5-10210U Processor (6M Cache, up to 4.10 GHz)",8GB DDR-4 2666MHz,256GB SSD,14.0-inch FHD (1920 x 1080) IPS LED-Backlit Touch Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-2-in-1-5491-14-inch-i5-10th-gen-laptop
Dell INSPIRON 14 2 iN 1 5491 14 inch Core I7 10th Gen 8GB Ram 256GB SSD Backlit Key Full HD TOUCH Laptop with NVIDIA MX230 2GB GDDR5 vRAM,Dell,"Intel Core i7-10510U Processor (8M Cache, up to 4.90 GHz)",8GB DDR-4 2666MHz,256GB SSD,14.0-inch FHD (1920 x 1080) IPS LED-Backlit Touch Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-2-in-1-5491-14-inch-i7-10th-gen-laptop-with-mx230
Dell INSPIRON 14 2 iN 1 5491 14 inch Core I7 10th Gen 8GB Ram 256GB SSD Backlit Key Full HD TOUCH Laptop with With Dell Active PEN,Dell,"Intel Core i7-10510U Processor (8M Cache, up to 4.90 GHz)",8GB DDR-4 2666MHz,256GB SSD,14.0-inch FHD (1920 x 1080) IPS LED-Backlit Touch Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-2-in-1-5491-14-inch-i7-10th-gen-laptop
Dell INSPIRON 14 5490 14 inch Core i5 10th Gen 8GB RAM 256GB SSD Backlit Key Laptop with NVIDIA MX230 2GB GDDR5 Graphics,Dell,"Intel Core i5-10210U Processor (6M Cache, up to 4.10 GHz)",8GB DDR-4 2666MHz,256GB SSD,14.0-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-5490-14-inch-i5-10th-gen-laptop-with-mx230
